127.0.0.1 - - [29/Nov/2018:13:35:16 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:35 +0800] "GET /web/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:35 +0800] "GET /web/ktc/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:35 +0800] "GET /web/ktc/css/gold.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:35 +0800] "GET /web/ktc/css/inner_gold.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:35 +0800] "GET /web/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:36 +0800] "GET /web/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:36 +0800] "GET /web/plugins/layui/css/layui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:36 +0800] "GET /web/plugins/jqgrid/ui.jqgrid-bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:36 +0800] "GET /web/ktc/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:36 +0800] "GET /web/plugins/ztree/css/zTreeStyle/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:36 +0800] "GET /web/css/basedata/ht-list-common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:36 +0800] "GET /web/css/iview.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:36 +0800] "GET /web/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:36 +0800] "GET /web/css/basedata/add-weight-setting.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:36 +0800] "GET /web/plugins/iview/iview.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:36 +0800] "GET /web/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:37 +0800] "GET /web/ktc/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:37 +0800] "GET /web/js/vue.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:37 +0800] "GET /web/js/jquery-2.0.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:37 +0800] "GET /web/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:37 +0800] "GET /web/plugins/layui/layui.all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:37 +0800] "GET /web/plugins/layui/css/modules/laydate/default/laydate.css?v=5.0.9 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:37 +0800] "GET /web/plugins/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:37 +0800] "GET /web/shiroUser/info?_1543469737337&_=1543469737146 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:37 +0800] "GET /web/css/fonts/ionicons.ttf?v=2.0.0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:37 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:35:37 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 302 -
