127.0.0.1 - - [25/Dec/2018:08:53:08 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:41 +0800] "GET /web/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:41 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:41 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:41 +0800] "GET /web/shiroUser/info?_1545699281567&_=1545699281434 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:41 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:42 +0800] "GET /web/login.html HTTP/1.1" 200 13056
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:42 +0800] "GET /web/login.html HTTP/1.1" 200 13056
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:42 +0800] "GET /web/login.html HTTP/1.1" 200 13056
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:42 +0800] "GET /web/login.html HTTP/1.1" 200 13056
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:42 +0800] "GET /web/login.html HTTP/1.1" 200 13056
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:42 +0800] "GET /web/login.html HTTP/1.1" 200 13056
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:43 +0800] "GET /web/login/captcha HTTP/1.1" 200 1907
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:46 +0800] "POST /web/login/login HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:47 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:47 +0800] "GET /web/shiroUser/info?_1545699286964&_=1545699286862 HTTP/1.1" 200 4437
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:48 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 200 295626
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:49 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 200 42579
0:0:0:0:0:0:0:1 - - [25/Dec/2018:08:54:53 +0800] "GET /web/finance/Wages/incomeTaxCalc/index.html HTTP/1.1" 200 21188
